filter,class,count,grad_rate_mean,grad_rate_sd,post_enroll_rate_mean,post_enroll_rate_sd,four_rate_mean,four_rate_sd,two_rate_mean,two_rate_sd,HLAA_rate_mean,HLAA_rate_sd
,overall,41603,0.7417013196163739,,0.6820421604211234,,0.2153931206884119,,0.2664711679446194,,0.3989375766170709,
,hs_name,181,0.7267187165336456,0.18839634376087058,0.5910966269665078,0.1517032112459359,0.1399044255616299,0.1492185506638704,0.14930856148318336,0.15511556786608646,0.36245844518740317,0.1409779799798526
,district,127,0.7353001797545645,0.16081687827069654,0.5723967636290803,0.1270270290841291,0.11232046755172542,0.1147569250320212,0.12270856849056447,0.12419470610389706,0.3565734194129405,0.11737379529500776
&gender=F,overall,20143,0.7776895199324827,,0.7153849972695229,,0.2521967929305466,,0.31092687285905773,,0.43335153651392544,
&gender=F,hs_name,134,0.8113358567243178,0.14147062791838033,0.6420627566923175,0.1501905285754546,0.2040178059205016,0.19253025787562442,0.20979720744368155,0.19479188607203152,0.4264813888315292,0.1664029915777783
&gender=F,district,88,0.8078802280740507,0.11393212599225301,0.6228964182399643,0.12539190963750985,0.17041158776274623,0.14920688610037008,0.18047192707563248,0.15627268815298218,0.4067967112470395,0.14311539140737245
&gender=M,overall,21167,0.7103510180942032,,0.6489346624462606,,0.1806113289554495,,0.2186894694571739,,0.3659942363112392,
&gender=M,hs_name,141,0.6959829474204463,0.17381108867658052,0.5515354557373057,0.14846755070610873,0.09605872968662207,0.12874775403612768,0.09883437953503721,0.13122805944262989,0.3286293417079694,0.1227653878158902
&gender=M,district,100,0.7010752854124931,0.1655338905140943,0.5320315080604491,0.13540274246201475,0.06738518173238721,0.10277623746594235,0.07222692197493438,0.10805730096825875,0.32681216970857535,0.10322468497557007
&ethnicity=5,overall,30783,0.7822499431504402,,0.7173439885651172,,0.24494038917584382,,0.27960237793587367,,0.41116850209531236,
&ethnicity=5,hs_name,164,0.773505663846541,0.15385193572063396,0.6222419783714955,0.15076875229822248,0.1612119547534941,0.1632875704479189,0.1647566271652033,0.16504722006215547,0.38244475923479976,0.13165365282500338
&ethnicity=5,district,118,0.7654927844734021,0.15464737257618055,0.595936835406111,0.13486406333015027,0.1277636621297053,0.1280809397899884,0.13266288570601453,0.13251179428688023,0.3677469674642154,0.11864239917371008
&ethnicity=1&ethnicity=2&ethnicity=3&ethnicity=4&ethnicity=6,overall,7676,0.7046638874413758,,0.5969254820218864,,0.15359562272016675,,0.1752214695153726,,0.36633663366336633,
&ethnicity=1&ethnicity=2&ethnicity=3&ethnicity=4&ethnicity=6,hs_name,63,0.7065662816191458,0.13409114091016577,0.45943154758964877,0.16050539997993712,0.07231078826344357,0.12349708770422835,0.07231078826344357,0.12349708770422835,0.3732165691910145,0.13034525019566398
&ethnicity=1&ethnicity=2&ethnicity=3&ethnicity=4&ethnicity=6,district,48,0.701100640120954,0.13511262123944867,0.4252197229658324,0.1634567464134852,0.06187829940546596,0.1096831134382762,0.06235508424407066,0.11053565440699006,0.3920590710757574,0.1276410835163313
&poverty=0,overall,28297,0.797469696434251,,0.7481005053539245,,0.2782980527971163,,0.33250874651023077,,0.43827967629077286,
&poverty=0,hs_name,146,0.8152214892575641,0.14338063497468634,0.6570804512346501,0.14737196886764986,0.1990369066240008,0.17586070727737063,0.20779113628816928,0.18043309483270153,0.4179052133323719,0.1318498236375523
&poverty=0,district,104,0.8131598091204686,0.1368434427087348,0.6279311537518105,0.13897633776238244,0.16194189994064523,0.1406918356875686,0.17212241558209218,0.14936592457478035,0.4073951195261022,0.10587115481918669
&poverty=1,overall,13051,0.6273082522412076,,0.5375067044670906,,0.07708221592215156,,0.11646617117462263,,0.3143820396904452,
&poverty=1,hs_name,114,0.6143527377222436,0.16338535537799856,0.4297412519853032,0.1393439716503113,0.010319405288105925,0.037239690689632066,0.012145993772899835,0.043549918900221064,0.2995527895034768,0.13138145391306955
&poverty=1,district,80,0.61433506178391,0.15774261839547243,0.43213432584588335,0.10953396582528785,0.011056512543914824,0.028207791069474998,0.014213744802227885,0.03455897509504638,0.3038922826465302,0.11386459071865453
&lep=0,overall,37384,0.76107425636636,,0.6898940723304088,,0.2230365931949497,,0.2633479563449604,,0.3991547185961909,
&lep=0,hs_name,180,0.7333971733792228,0.1943784330268,0.6040946935113426,0.15430615780702184,0.14636442344463693,0.1533039434853493,0.1552327417963316,0.15951014168047822,0.3624228035294784,0.14526530077125824
&lep=0,district,126,0.7435310063522591,0.16660719361516918,0.5835213561662819,0.12867833479188198,0.11789451280827228,0.11912266121071356,0.12717881390208596,0.12788693348114613,0.35807298992409264,0.1198798345776649
&lep=1,overall,2774,0.6398702235039654,,0.41888968997837056,,0.05803893294881038,,0.0829127613554434,,0.37094448449891854,
&lep=1,hs_name,31,0.6572374528326146,0.14390212595809324,0.22752306190399632,0.15450149255038084,0.0,0.0,0.002354603249352484,0.012896693136453169,0.43736981947630293,0.10240286951129919
&lep=1,district,23,0.6712245434633904,0.14838349577109225,0.29204925288869316,0.13411640259258917,0.006384919428397689,0.021322120270339605,0.009446768785409324,0.024935552181588484,0.42057926753206054,0.1222776970508817
&meet_math=1,overall,22035,0.6803721352393919,,0.5829362378034945,,0.08127978216473791,,0.1283866575901974,,0.32185159972770594,
&meet_math=1,hs_name,156,0.690453002151769,0.14955523105166504,0.5022545131580887,0.12272064456275103,0.03244927007701089,0.06412373693285454,0.03605418096165842,0.06844229503197091,0.31081948255255715,0.10555239084551055
&meet_math=1,district,109,0.7144947870498579,0.12614453284866495,0.48909683119640074,0.11531074696342326,0.022724099069896857,0.047787855310302677,0.028708794373271444,0.056642734690045354,0.3273380288054194,0.10241652727537025
&meet_math=2&meet_math=3,overall,16794,0.8928188638799571,,0.8475050613314279,,0.4175896153388115,,0.47278790044063357,,0.5384065737763487,
&meet_math=2&meet_math=3,hs_name,106,0.9639779447836722,0.05871660259323828,0.8353166495163139,0.12348502269541164,0.4076692011066434,0.20004397562986623,0.41217068845147325,0.20052736702986856,0.5456838418285658,0.13901498054832992
&meet_math=2&meet_math=3,district,70,0.9572517807552753,0.06041417219904212,0.8154641801298791,0.13338882681387426,0.3607390455484505,0.17784067498832742,0.37103412389276397,0.18153202844593025,0.5210722299395633,0.10348704067453993
&meet_read=1,overall,19122,0.6752431754000627,,0.5652128438447861,,0.07473067670745738,,0.11578286790084719,,0.31821985147997073,
&meet_read=1,hs_name,143,0.6764676234500304,0.1589347341950299,0.4762744521009175,0.12609093595394827,0.030401707398231725,0.0695125236230609,0.03329760979901776,0.07274335187330333,0.31862223007167334,0.11307329816371552
&meet_read=1,district,97,0.6904862943857137,0.1161497029774641,0.4637871005055887,0.11701085213130079,0.019439060425546426,0.046013721624513906,0.024361244119270823,0.052974656326386836,0.32709822376911063,0.09925882368288484
&meet_read=2&meet_read=3,overall,19577,0.8713796802370128,,0.8260714103284467,,0.3749297645195893,,0.42963681871584003,,0.5040098074270828,
&meet_read=2&meet_read=3,hs_name,117,0.9300032882520396,0.07465860648568279,0.7974518116554378,0.11689533493456289,0.3499858468184363,0.19055220536435724,0.357356055173582,0.19269951277601347,0.5080643448176059,0.14743313596933771
